------------------------------
Process Logger :Tue Nov 29 04:24:45 2022
------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 15712, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'chrome.exe'}
{'pid': 15904, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'svchost.exe'}
{'pid': 16244, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'SystemSettings.exe'}
{'pid': 16352, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'chrome.exe'}
{'pid': 16404, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'Code.exe'}
{'pid': 16468, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'chrome.exe'}
{'pid': 16472, 'username': None, 'name': 'fontdrvhost.exe'}
{'pid': 16968, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'Code.exe'}
{'pid': 16976, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedgewebview2.exe'}
{'pid': 17100, 'username': None, 'name': 'NVDisplay.Container.exe'}
{'pid': 17648, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'chrome.exe'}
{'pid': 17692, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'svchost.exe'}
{'pid': 18192, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'taskhostw.exe'}
{'pid': 18456, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedge.exe'}
{'pid': 18464, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'SecurityHealthSystray.exe'}
{'pid': 18960, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'conhost.exe'}
{'pid': 18964, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'dllhost.exe'}
{'pid': 19080, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'Code.exe'}
{'pid': 19200, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'bittorrentie.exe'}
{'pid': 19248, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'TabTip.exe'}
{'pid': 19348, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'BitTorrent.exe'}
{'pid': 19360, 'username': None, 'name': 'csrss.exe'}
{'pid': 19556, 'username': None, 'name': 'svchost.exe'}
{'pid': 19704, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedgewebview2.exe'}
{'pid': 20204, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'OneDrive.exe'}
{'pid': 20352, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'RtkAudUService64.exe'}
